timestamp,scenario_name,predicted_cpu,load_level,current_pods,raw_required_pods,delayable_jobs,workload_reduction_percent,carbon_saving_gco2,carbon_saving_percent,final_action,final_pods,sla_preserved
2026-05-04T02:26:06.753772Z,LOW LOAD,20,LOW,3,1,3,0.5,0.0,0.0,N/A,0,True
2026-05-04T02:26:17.950285Z,NORMAL LOAD,55,NORMAL,3,3,1,0.1357142857142857,3.33,66.6,N/A,0,True
2026-05-04T02:26:29.168640Z,HIGH LOAD,85,HIGH,2,5,1,0.11176470588235293,0.0,0.0,N/A,0,True
2026-05-04T02:26:40.311828Z,HIGH LOAD NO DELAY,90,HIGH,3,5,0,0.0,0.0,0.0,N/A,0,True
2026-05-04T02:26:51.511432Z,LOW RECOVERY,25,LOW,5,1,3,0.5,0.0,0.0,N/A,0,True
2026-05-04T02:27:02.762274Z,LOW LOAD,20,LOW,3,1,3,0.5,0.0,0.0,N/A,0,True
2026-05-04T02:27:14.014860Z,NORMAL LOAD,55,NORMAL,3,3,1,0.1357142857142857,3.33,66.6,N/A,0,True
2026-05-04T02:27:25.167839Z,HIGH LOAD,85,HIGH,2,5,1,0.11176470588235293,0.0,0.0,N/A,0,True
2026-05-04T02:27:36.367707Z,HIGH LOAD NO DELAY,90,HIGH,3,5,0,0.0,0.0,0.0,N/A,0,True
2026-05-04T02:27:47.570836Z,LOW RECOVERY,25,LOW,5,1,3,0.5,0.0,0.0,N/A,0,True
2026-05-04T02:27:58.740029Z,LOW LOAD,20,LOW,3,1,3,0.5,0.0,0.0,N/A,0,True
2026-05-04T02:28:09.893637Z,NORMAL LOAD,55,NORMAL,3,3,1,0.1357142857142857,3.33,66.6,N/A,0,True
2026-05-04T02:28:21.070567Z,HIGH LOAD,85,HIGH,2,5,1,0.11176470588235293,0.0,0.0,N/A,0,True
2026-05-04T02:28:32.256845Z,HIGH LOAD NO DELAY,90,HIGH,3,5,0,0.0,0.0,0.0,N/A,0,True
